,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0
1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
2,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
3,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
4,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
5,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
6,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
7,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
8,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0
9,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0
10,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
11,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0
12,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0
13,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
14,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
15,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0
16,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
17,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
18,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
19,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
20,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
21,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
22,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
23,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
24,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1
25,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
26,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
27,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
28,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
29,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
30,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
31,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
32,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
33,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0
34,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
35,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
36,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
37,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
38,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
39,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
40,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
41,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
42,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
43,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
44,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0
45,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1
46,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
47,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
48,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
49,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0
50,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
51,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
52,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
53,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0
54,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
55,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
56,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
57,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0
58,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
59,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
60,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
61,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0
62,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0
63,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0
64,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0
65,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
66,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
67,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0
68,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1
69,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0
70,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
71,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0
72,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1
73,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
74,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0
75,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
76,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1
77,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
78,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
79,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
80,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
81,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
82,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
83,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1
84,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1
85,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0
86,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
87,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
88,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
89,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0
90,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1
91,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0
92,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1
93,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
94,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
95,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
96,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
97,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0
98,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
99,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
100,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0
101,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
102,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
103,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1
104,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
105,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1
106,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0
107,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0
